keyword,appearances,early_avg_rank,late_avg_rank,new_entry,rising_score
홍어,15,346,247.9,False,105.62
제주오메기떡,4,478,374.7,False,105.33
비타민,7,493,393.2,False,103.33
코코넛워터,10,417.7,319.6,False,103.1
렌틸콩,3,472.5,371,False,103.0
얼박사,13,361.2,265,False,102.7
트러플하몽크래커,15,315.9,223.5,False,99.86
참송이버섯,9,434,338.7,False,99.83
씨없는수박,14,371.3,279.7,False,98.57
순살고등어,2,455,358,False,98.0
흑수박,14,345.2,254.2,False,97.92
깐포도통조림,5,480,386.7,False,95.83
청양고추,6,498,406.6,False,94.4
단백질바,14,357.5,271.6,False,92.88
텐텐,15,295.4,211,False,91.93
인삼다당체,3,319,229,False,91.5
참치회,13,339,257.2,False,88.25
새우젓,14,366.7,285.9,False,87.79
열무김치담그는법,6,455,371,False,87.0
떡,15,265.3,187.6,False,85.16
맛조개,14,339.9,262.3,False,84.57
마카,7,308,227.8,False,83.7
닥터린콘드로이친,5,409,329.3,False,82.17
종근당오메가3,10,417,340.1,False,81.86
dem,3,196,116,False,81.5
다슬기,15,145.7,71.9,False,81.34
인삼,3,459.5,381,False,80.0
차돌박이,4,469,391.7,False,79.33
라라스윗,3,470,393,False,78.5
포도,7,490,415.5,False,78.0
신타6,2,494,418,False,77.0
생참치,6,,64.3,True,76.57
궁채,15,132.7,63.9,False,76.34
백골뱅이,10,273.2,202.6,False,75.6
밀키트,14,265.3,196.8,False,75.58
깐마늘,13,395.3,326.7,False,75.12
황태채,15,197.7,130.9,False,74.34
닭발편육,2,,68,True,74.2
알룰로스,15,288.9,222.6,False,73.73
도시락,13,408.3,341.3,False,73.55
쑥개떡,2,428,356,False,73.0
원당,13,285.8,221,False,71.3
모짜렐라치즈,15,195.7,132.1,False,71.09
두부면,15,228,165.5,False,70.0
농심누룽지팝,2,439,370,False,70.0
카누미니마일드,3,463,395,False,69.5
등갈비,6,450,383.6,False,69.4
헛개즙,5,450.5,384,False,69.0
트라피스트딸기잼,2,,121.5,True,68.85
꼼장어,6,474,408.8,False,68.25
보스웰리아,9,417.5,353.8,False,68.2
공심채,1,,129,True,67.6
문어,15,285.6,226.2,False,66.82
유기산마그네슘,3,,153.3,True,66.17
pqq,1,,147,True,65.8
오이지,8,396.5,335.5,False,65.0
콘드로이친1200,15,131.9,75.1,False,64.23
에버콜라겐,11,368,309.4,False,64.1
능이버섯,12,354.4,296.9,False,63.54
단백이,2,,177,True,63.3
쿵딘쌀국수,1,,173,True,63.2
육포,15,224.3,168.8,False,63.04
오징어,15,130,74.6,False,62.88
침향환,15,219,163.6,False,62.88
킹크랩,14,279.3,223.8,False,62.58
담두왕만두,2,,185,True,62.5
통수산,7,255.2,196.7,False,62.08
조선팔도떡집,2,,189.5,True,62.05
식용유,2,461,400,False,62.0
양갈비,2,438,377,False,62.0
피스타치오,13,391.4,336,False,61.9
베지밀,7,454,395.7,False,61.83
볶음너구리,1,,191,True,61.4
샘트리맛병아리콩,10,408.3,352,False,61.33
자연바름,1,,198,True,60.7
토마호크,3,438,379,False,60.5
창억호박인절미,4,464,406,False,60.0
매실10kg,15,118.1,65.8,False,59.89
달걀,3,419,361,False,59.5
한우선물세트,1,,210,True,59.5
브라질너트,5,375,318.2,False,59.25
비타500,13,321.8,269.1,False,59.18
블랙트러플하몽크래커,15,366.1,314.6,False,59.02
